,City,Country,Continent,Nodes,Edges,Essential edges,Self-loops,3-paths,Triangles,4-paths,4-complete,4-star,Squares,Diamonds,Tadpoles
0,New_Delhi,India,Asia,15161,37422,20696,143,41788.0,752.0,82908.0,1.0,17522.0,1846.0,66.0,2874.0
1,Mumbai,India,Asia,35598,88637,48647,364,100343.0,1607.0,204165.0,0.0,44313.0,4520.0,103.0,6294.0
2,Tokyo,Japan,Asia,,,,,,,,,,,,
3,Beijing,China,Asia,,,,,,,,,,,,
4,Sao_Paulo,Brazil,South_America,152091,388905,220572,457,472196.0,8006.0,999790.0,1.0,210575.0,22202.0,454.0,31539.0
5,Cairo,Egypt,Africa,202489,500126,288190,989,591436.0,7122.0,1203125.0,0.0,239880.0,27200.0,346.0,25182.0
6,Kinshasa,DR_Congo,Africa,66685,190800,96082,98,210256.0,2336.0,459668.0,1.0,99751.0,12456.0,95.0,9111.0
7,Lagos,Nigeria,Africa,,,,,,,,,,,,
8,Johannesburg,South_Africa,Africa,,,,,,,,,,,,
9,Casablanca,Morocco,Africa,,,,,,,,,,,,
10,Das_es_Salaam,Tanzania,Africa,,,,,,,,,,,,
11,Abidjan,Ivory_Coast,Africa,,,,,,,,,,,,
12,Cape_Town,South_Africa,Africa,,,,,,,,,,,,
13,Nairobi,Kenya,Africa,46932,114704,59108,538,110863.0,1709.0,201823.0,1.0,42716.0,3266.0,86.0,5923.0
14,Algiers,Algeria,Africa,,,,,,,,,,,,
15,Durban,South_Africa,Africa,,,,,,,,,,,,
16,Addis_Ababa,Ethiopia,Africa,,,,,,,,,,,,
17,Pretoria,South_Africa,Africa,,,,,,,,,,,,
18,Harare,Zimbabwe,Africa,,,,,,,,,,,,
19,Luanda,Angola,Africa,18988,49468,26758,111,55873.0,796.0,115453.0,0.0,24289.0,2683.0,56.0,2967.0
20,Accra,Ghana,Africa,,,,,,,,,,,,
21,Ouagadougou,Burkina_Faso,Africa,,,,,,,,,,,,
22,Tunis,Tunisia,Africa,,,,,,,,,,,,
23,Khartoum,Sudan,Africa,,,,,,,,,,,,
24,Paris,France,Europe,40473,98627,60425,136,138973.0,2881.0,314914.0,3.0,73016.0,7378.0,328.0,14059.0
25,Moscow,Russia,Europe,380944,1083604,558357,2144,1235195.0,21105.0,2690482.0,14.0,596249.0,61665.0,1992.0,92524.0
26,London,United_Kingdom,Europe,,,,,,,,,,,,
27,Saint_Petersburg,Russia,Europe,305528,866381,447392,2025,993872.0,17966.0,2175838.0,7.0,485430.0,51372.0,1768.0,79119.0
28,Berlin,Germany,Europe,218030,580686,302180,1418,631335.0,11156.0,1302472.0,2.0,283689.0,27687.0,942.0,45881.0
29,Madrid,Spain,Europe,112892,289070,169059,862,379022.0,6739.0,838012.0,4.0,184024.0,20271.0,649.0,28853.0
30,Kiev,Ukraine,Europe,117432,331365,170176,759,374228.0,6962.0,808750.0,2.0,180437.0,18713.0,590.0,29720.0
31,Rome,Italy,Europe,98153,226858,135088,1071,279944.0,6047.0,569995.0,5.0,124950.0,12544.0,598.0,24112.0
32,Bucharest,Romania,Europe,,,,,,,,,,,,
33,Salzburg,Austria,Europe,,,,,,,,,,,,
34,Vienna,Austria,Europe,107846,288647,155823,471,341190.0,5917.0,742798.0,2.0,164225.0,17555.0,583.0,26188.0
35,Zurich,Switzerland,Europe,42502,118385,62351,109,138445.0,2112.0,304132.0,1.0,67639.0,6540.0,216.0,9827.0
36,Geneva,Switzerland,Europe,17109,45627,24993,59,56345.0,848.0,126404.0,0.0,28662.0,3044.0,70.0,4048.0
37,Hamburg,Germany,Europe,,,,,,,,,,,,
38,Warsaw,Poland,Europe,169456,482253,250295,1137,565164.0,10498.0,1257318.0,7.0,282766.0,30727.0,842.0,46821.0
39,Barcelona,Spain,Europe,38041,89733,55491,130,128662.0,1458.0,293024.0,0.0,69542.0,7496.0,106.0,6506.0
40,Munich,Germany,Europe,129430,351147,181292,556,390685.0,5284.0,838729.0,3.0,187563.0,18588.0,440.0,23139.0
41,Kharkiv,Ukraine,Europe,44758,128616,65248,245,144808.0,2759.0,316938.0,0.0,70937.0,7394.0,241.0,12185.0
42,Milan,Italy,Europe,55682,138849,82520,365,184453.0,3494.0,407132.0,2.0,90137.0,9821.0,319.0,15164.0
43,Belgrade,Serbia,Europe,40889,103417,55970,232,117187.0,1901.0,243172.0,2.0,53941.0,5392.0,156.0,8065.0
44,Sofia,Bulgaria,Europe,35928,96984,52700,205,115630.0,2243.0,250527.0,1.0,54925.0,5481.0,191.0,9880.0
45,Prague,Czech_Republic,Europe,124305,343761,181141,676,400816.0,7376.0,872418.0,1.0,194783.0,19065.0,566.0,31651.0
46,Birmingham,United_Kingdom,Europe,60239,150756,78985,902,156191.0,3311.0,301474.0,15.0,65828.0,5248.0,472.0,13344.0
47,Brussels,Belgium,Europe,7186,18162,10794,31,24706.0,519.0,56218.0,0.0,12739.0,1518.0,91.0,2654.0
48,Volgograd,Russia,Europe,38523,110871,56252,202,122583.0,2162.0,264270.0,2.0,57057.0,6900.0,160.0,8684.0
49,Stockholm,Sweden,Europe,,,,,,,,,,,,
50,Naples,Italy,Europe,19829,43837,26114,140,52232.0,1007.0,102222.0,0.0,22716.0,1906.0,81.0,4005.0
51,Marseille,France,Europe,44302,105140,58945,593,118320.0,2604.0,231934.0,0.0,50853.0,4994.0,187.0,10165.0
52,Amsterdam,Netherlands,Europe,44946,119043,69628,255,163765.0,2885.0,384971.0,2.0,85738.0,11466.0,370.0,13952.0
53,Athens,Greece,Europe,,,,,,,,,,,,
54,Glasgow,United_Kingdom,Europe,,,,,,,,,,,,
55,Copenhagen,Denmark,Europe,,,,,,,,,,,,
56,Dublin,Ireland,Europe,39864,101575,52231,391,104806.0,1749.0,206274.0,3.0,46139.0,3960.0,195.0,6880.0
57,Lisbon,Portugal,Europe,29182,71627,42062,299,90771.0,2146.0,192000.0,3.0,42232.0,4615.0,209.0,9105.0
58,Bangalore,India,Asia,136256,356696,184304,763,376113.0,4122.0,757949.0,4.0,163373.0,17898.0,239.0,15639.0
59,Hyderabad,India,Asia,54527,145911,74821,114,153159.0,1615.0,309234.0,0.0,65583.0,6189.0,61.0,6184.0
60,Chennai,India,Asia,51366,136527,70616,215,144294.0,1731.0,290236.0,1.0,61277.0,6162.0,98.0,6494.0
61,Guangzhou,China,Asia,72822,170793,104297,263,223032.0,4808.0,468469.0,0.0,101516.0,10733.0,249.0,19927.0
62,Shanghai,China,Asia,,,,,,,,,,,,
63,Chongqing,China,Asia,,,,,,,,,,,,
64,Jinan,China,Asia,,,,,,,,,,,,
65,Yokohama,Japan,Asia,146713,403595,207824,368,438769.0,5475.0,923826.0,0.0,195050.0,20306.0,266.0,21019.0
66,Osaka,Japan,Asia,339445,936315,486865,1197,1044265.0,12840.0,2235096.0,3.0,476348.0,51103.0,832.0,50958.0
67,Kyoto,Japan,Asia,76685,208238,109328,202,234398.0,3022.0,502688.0,0.0,107837.0,11704.0,160.0,11856.0
68,Ottawa,Canada,North_America,,,,,,,,,,,,
69,Vancouver,Canada,North_America,29157,89394,46788,124,113248.0,1604.0,273955.0,0.0,60624.0,8392.0,208.0,7568.0
70,Toronto,Canada,North_America,,,,,,,,,,,,
71,Quebec,Canada,North_America,,,,,,,,,,,,
72,New_York,USA,North_America,160457,427788,242278,1446,566206.0,8217.0,1329886.0,4.0,299404.0,38386.0,809.0,35632.0
73,Los_Angeles,USA,North_America,164782,457928,234837,1560,514629.0,7820.0,1127385.0,2.0,251408.0,29526.0,1093.0,33179.0
74,Chicago,USA,North_America,123336,344680,189120,1446,438487.0,6116.0,1020017.0,4.0,223761.0,30869.0,746.0,25076.0
75,Houston,USA,North_America,197031,508183,276111,3429,580330.0,11633.0,1206024.0,9.0,261665.0,31447.0,1098.0,43961.0
76,San_Francisco,USA,North_America,36304,102577,55849,301,132451.0,2039.0,315001.0,1.0,71146.0,9462.0,341.0,9564.0
77,Boston,USA,North_America,33516,86320,48475,365,106586.0,2000.0,233106.0,0.0,51822.0,5450.0,204.0,8552.0
78,Washington,USA,North_America,,,,,,,,,,,,
79,Mexico_City,Mexico,North_America,,,,,,,,,,,,
