,Unnamed: 0,City,Country,Continent,Nodes,Edges,Essential edges,Self-loops,3-paths,Triangles,4-paths,4-complete,4-star,Squares,Diamonds,Tadpoles,Population
0,0,New_Delhi,India,Asia,15161.0,37422.0,20696.0,143.0,41788.0,752.0,82908.0,1.0,17522.0,1846.0,66.0,2874.0,302363.0
1,1,Mumbai,India,Asia,35598.0,88637.0,48647.0,364.0,100343.0,1607.0,204165.0,0.0,44313.0,4520.0,103.0,6294.0,
2,2,Tokyo,Japan,Asia,,,,,,,,,,,,,8134688.0
3,3,Beijing,China,Asia,,,,,,,,,,,,,
4,4,Sao_Paulo,Brazil,South_America,152091.0,388905.0,220572.0,457.0,472196.0,8006.0,999790.0,1.0,210575.0,22202.0,454.0,31539.0,11152968.0
5,5,Cairo,Egypt,Africa,202489.0,500126.0,288190.0,989.0,591436.0,7122.0,1203125.0,0.0,239880.0,27200.0,346.0,25182.0,6800992.0
6,6,Kinshasa,DR_Congo,Africa,66685.0,190800.0,96082.0,98.0,210256.0,2336.0,459668.0,1.0,99751.0,12456.0,95.0,9111.0,
7,7,Lagos,Nigeria,Africa,,,,,,,,,,,,,5195247.0
8,8,Johannesburg,South_Africa,Africa,,,,,,,,,,,,,752349.0
9,9,Casablanca,Morocco,Africa,,,,,,,,,,,,,
10,10,Das_es_Salaam,Tanzania,Africa,,,,,,,,,,,,,
11,11,Abidjan,Ivory_Coast,Africa,,,,,,,,,,,,,1929079.0
12,12,Cape_Town,South_Africa,Africa,,,,,,,,,,,,,987007.0
13,13,Nairobi,Kenya,Africa,46932.0,114704.0,59108.0,538.0,110863.0,1709.0,201823.0,1.0,42716.0,3266.0,86.0,5923.0,3133518.0
14,14,Algiers,Algeria,Africa,,,,,,,,,,,,,
15,15,Durban,South_Africa,Africa,,,,,,,,,,,,,669242.0
16,16,Addis_Ababa,Ethiopia,Africa,,,,,,,,,,,,,2739551.0
17,17,Pretoria,South_Africa,Africa,,,,,,,,,,,,,692348.0
18,18,Harare,Zimbabwe,Africa,,,,,,,,,,,,,1189103.0
19,19,Luanda,Angola,Africa,18988.0,49468.0,26758.0,111.0,55873.0,796.0,115453.0,0.0,24289.0,2683.0,56.0,2967.0,
20,20,Accra,Ghana,Africa,,,,,,,,,,,,,1658937.0
21,21,Ouagadougou,Burkina_Faso,Africa,,,,,,,,,,,,,750398.0
22,22,Tunis,Tunisia,Africa,,,,,,,,,,,,,
23,23,Khartoum,Sudan,Africa,,,,,,,,,,,,,
24,24,Paris,France,Europe,40473.0,98627.0,60425.0,136.0,138973.0,2881.0,314914.0,3.0,73016.0,7378.0,328.0,14059.0,9643880.0
25,25,Moscow,Russia,Europe,380944.0,1083604.0,558357.0,2144.0,1235195.0,21105.0,2690482.0,14.0,596249.0,61665.0,1992.0,92524.0,
26,26,London,United_Kingdom,Europe,,,,,,,,,,,,,432455.0
27,27,Saint_Petersburg,Russia,Europe,305528.0,866381.0,447392.0,2025.0,993872.0,17966.0,2175838.0,7.0,485430.0,51372.0,1768.0,79119.0,
28,28,Berlin,Germany,Europe,218030.0,580686.0,302180.0,1418.0,631335.0,11156.0,1302472.0,2.0,283689.0,27687.0,942.0,45881.0,3386667.0
29,29,Madrid,Spain,Europe,112892.0,289070.0,169059.0,862.0,379022.0,6739.0,838012.0,4.0,184024.0,20271.0,649.0,28853.0,3998829.0
30,30,Kiev,Ukraine,Europe,117432.0,331365.0,170176.0,759.0,374228.0,6962.0,808750.0,2.0,180437.0,18713.0,590.0,29720.0,
31,31,Rome,Italy,Europe,98153.0,226858.0,135088.0,1071.0,279944.0,6047.0,569995.0,5.0,124950.0,12544.0,598.0,24112.0,
32,32,Bucharest,Romania,Europe,,,,,,,,,,,,,
33,33,Salzburg,Austria,Europe,,,,,,,,,,,,,208073.0
34,34,Vienna,Austria,Europe,107846.0,288647.0,155823.0,471.0,341190.0,5917.0,742798.0,2.0,164225.0,17555.0,583.0,26188.0,1829876.0
