currName,altName
Algiers,ALGIERS (EL DJAZAIR)
Ansan,Asan
Antwerp,Antwerpen (Anvers)
Athens,ATHINAI
Atlanta,Atlanta (GA)
Austin,Austin (TX)
Basel,Bâle
Beijing,BEIJING (PEKING)
Belem,Belém
Belgrade,BEOGRAD (BELGRADE)
Bogota,"BOGOTÁ, D.C."
Boston,Boston (MA)
Brussels,BRUXELLES (BRUSSEL)
Bucharest,BUCURESTI
Busan,Busan (Pusan)
Cartagena de Indias,Cartagena
Chicago,Chicago (IL)
Copenhagen,KOBENHAVN
Cuiaba,Cuiabá
Culiacan,Culiacán Rosales
Das es Salaam,Dar es Salaam
Donetsk,Donets'k
Geneva,Genève
Houston,Houston (TX)
Isfahan,Esfahan
Kiev,KYIV
Krakow,Kraków
Las Vegas,Las Vegas (NV)
Lisbon,LISBOA
Los Angeles,Los Angeles (CA)
Lucerne,Luzern
Maceio,Maceió
Malaga,Málaga
Malmo,Malmö
Medellin,Medellín
Mexico City,"MEXICO, CIUDAD DE"
Miami,Miami (FL)
Milan,Milano
Montreal,Montréal
Moscow,MOSKVA
Mumbai,Greater Mumbai
Munich,München
Naples,Napoli
New Delhi,Delhi Municipal Corporation (DMC)
New York,New York (NY)
Pamplona,Pamplona/Iruña
Philadelphia,Philadelphia (PA)
Phoenix,Phoenix (AZ)
Prague,PRAHA
Quebec,Québec
Reno,Reno (NV)
Reynosa,Reynosa-Río Bravo
Rome,ROMA
Saint Petersburg,St. Petersburg
Salt Lake City,Salt Lake City (UT)
Santa Fe de la Vera Cruz,Santa Fé
Sao Luis,Sao Luís
Seville,Sevilla
Shymkent,Shimkent
Venice,Venezia
Vienna,WIEN
Vina del Mar,Viña del Mar
Warsaw,WARSZAWA
Washington,WASHINGTON (DC)
Yekaterinburg,Ekaterinburg
Zurich,Zürich
